Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;97;Hongrie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2227;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;25;Îles Salomon;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2208;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;100;Inde;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2257;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;101;Indonésie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2689;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;102;Iran (République islamique d');664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2741;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;103;Iraq;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2358;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;104;Irlande;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2682;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;99;Islande;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2001;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;105;Israël;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2740;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;106;Italie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2645;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;109;Jamaïque;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2232;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;110;Japon;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2157;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;112;Jordanie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2417;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;108;Kazakhstan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2216;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;114;Kenya;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1900;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;113;Kirghizistan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2111;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;83;Kiribati;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2710;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;118;Koweït;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2807;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;122;Lesotho;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2201;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;119;Lettonie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2207;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;121;Liban;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2571;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;123;Libéria;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2032;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;126;Lituanie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2435;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;256;Luxembourg;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2285;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;154;Macédoine du Nord;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2434;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;129;Madagascar;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1808;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;131;Malaisie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2359;Fc;Donnée calculée
