Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;54;Danemark;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3397;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;72;Djibouti;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2664;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;55;Dominique;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2973;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;59;Égypte;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3344;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;60;El Salvador;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2662;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;225;Émirats arabes unis;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3344;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;58;Équateur;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2599;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;203;Espagne;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3303;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;63;Estonie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3138;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;209;Eswatini;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2405;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;231;États-Unis d'Amérique;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3778;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;238;Éthiopie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2334;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;185;Fédération de Russie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3366;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;66;Fidji;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2773;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;67;Finlande;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3337;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;68;France;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3510;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;74;Gabon;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2640;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;75;Gambie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2544;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;73;Géorgie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2783;Fc;Donnée calculée
